Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
179,1,H-IIA 202,Active,$90.0 million,,"10,000 kg","4,100 kg",2,2,53.00,4.07 m,12.0 m
179,2,H-IIA 2022,Retired,,,,"4,500 kg",2,2,53.00,4.07 m,12.0 m
179,3,H-IIA 2024,Retired,,,,"5,000 kg",2,4,53.00,4.07 m,12.0 m
179,4,H-IIA 204,Active,,,"15,000 kg","6,000 kg",2,4,,4.07 m,12.0 m
178,1,GSLV Mk III,Active,$62.0 million,11898,"10,000 kg","4,000 kg",3,2,43.40,5.0 m,
180,1,H-IIB,Retired,$112.5 million,,"16,500 kg","8,000 kg",2,4,56.60,5.1 m,15.0 m
183,1,Angara 1.2,Active,,1922,"3,800 kg",0 kg,2,0,42.40,3.0 m,9.9 m
183,2,Angara 1.2PP,Retired,,1922,,0 kg,2,0,,3.0 m,9.9 m
181,1,Atlas-E/F Altair,Retired,,,210 kg,,2,0,,,
184,1,Conestoga-1620,Retired,$20.0 million,,"1,179 kg",,4,6,,,
185,1,Long March 9,Planned,,5700,"145,000 kg","50,000 kg",3,4,110.00,,
188,1,Mercury-Redstone,Retired,,350,0 kg,,1,0,25.40,,
189,1,Kaituozhe 1,Retired,,300,100 kg,0 kg,4,0,13.60,1.0 m,3.1 m
191,1,ZhuQue-2,Planned,,2636,"4,000 kg",0 kg,2,0,48.80,3.35 m,5.0 m
190,1,Feng Bao 1,Retired,,2785,"2,500 kg",0 kg,2,0,33.00,3.35 m,5.0 m
193,1,Polyot,Retired,,4570,"1,400 kg",0 kg,2,4,30.00,2.58 m,5.68 m
192,1,Dnepr,Retired,$29.0 million,4166,"4,500 kg",500 kg,3,0,34.30,3.0 m,7.45 m
194,1,Soyuz,Retired,,4456,"6,640 kg",0 kg,3,4,48.47,3.0 m,12.8 m
195,1,Soyuz L,Retired,,4054,"5,500 kg",0 kg,3,4,48.00,5.0 m,7.8 m
196,1,Soyuz M,Retired,,995,"6,600 kg",0 kg,3,4,47.80,3.0 m,7.2 m
197,1,Molniya,Retired,,4378,"6,000 kg","2,200 kg",4,4,44.23,2.58 m,6.74 m
198,1,NSL-A,Planned,$4.0 million,210,200 kg,0 kg,3,0,18.00,1.2 m,
199,1,New Shepard,Active,,490,0 kg,0 kg,2,0,18.00,,
200,1,SARGE,Active,,,,,1,0,11.00,0.51 m,0.91 m
201,1,MOMO,Active,$0.44 million,83,0 kg,0 kg,1,0,10.00,0.5 m,0.8 m
204,1,Atlas-D Able,Retired,,1880,,,3,0,35.00,,
202,1,Delta 3910,Retired,,,,"1,154 kg",2,9,,,
202,2,Delta 3913,Retired,,,,,3,9,,,
202,3,Delta 3914,Retired,,,,954 kg,3,9,,,
202,4,Delta 3920,Retired,,,"3,452 kg",,2,9,,,
202,5,Delta 3920-8,Retired,,3188,,,2,9,,2.9 m,
202,6,Delta 3924,Retired,,,,"1,104 kg",3,9,,,
205,1,Atlas-E/F Agena D,Retired,,,,,2,0,,,
205,2,Atlas-LV3 Agena-A,Retired,,,"1,250 kg",,2,0,,,
205,3,Atlas-LV3 Agena-B,Retired,,,"1,725 kg",,2,0,,,
205,4,Atlas-LV3 Agena-D,Retired,,,,,2,0,,,
205,5,Atlas-SLV3A Agena-D,Retired,,,,,2,0,,,
205,6,Atlas-SLV3 Agena-B,Retired,,,,,2,0,,,
205,7,Atlas-SLV3 Agena-D,Retired,,,"1,825 kg",,2,0,,,
205,8,Atlas-SLV3B Agena-D,Retired,,,,,2,0,,,
206,1,Super Stripy,Active,$15.0 million,134,250 kg,,3,0,18.00,1.32 m,
207,1,Tsyklon-2A,Retired,,2650,"3,000 kg",0 kg,2,0,39.65,3.0 m,10.7 m
208,1,Cosmos-1 (65S3),Retired,,636,350 kg,0 kg,2,0,29.59,1.65 m,2.99 m
209,1,Cosmos-2 (63SM),Retired,,636,400 kg,0 kg,2,0,29.59,1.65 m,2.99 m
211,1,Blue Scout II,Retired,,471,,,4,0,24.00,,
212,1,Atlas-D OV1,Retired,,1880,,,2,0,,,
212,2,Atlas-E/F OV1,Retired,,,363 kg,,2,0,,,
215,1,Tsyklon-4M,Planned,$45.0 million,3111,"5,000 kg",910 kg,2,0,39.20,4.0 m,9.7 m
213,1,Atlas SLV-3,Retired,,,800 kg,,,0,,,
216,1,Soyuz 5,Planned,,7260,"17,000 kg","5,000 kg",2,0,63.70,4.1 m,10.4 m
216,2,Soyuz 5/Fregat-SBU,Planned,,7260,"17,000 kg","5,000 kg",3,0,63.70,4.1 m,10.4 m
220,1,Atlas-E/F Burner,Retired,,,950 kg,,2,0,,,
220,2,Atlas-SLV3 Burner-2,Retired,,,,,2,0,,,
222,1,Atlas-G Centaur-D1AR,Retired,,,"5,900 kg","2,222 kg",2,0,,,
222,2,Atlas-LV3C Centaur-A,Retired,,,,,2,0,,,
222,3,Atlas-LV3C Centaur-B,Retired,,,,,2,0,,,
222,4,Atlas-LV3C Centaur-C,Retired,,,,,2,0,,,
222,5,Atlas-LV3C Centaur-D,Retired,,,,,2,0,,,
222,6,Atlas-SLV3C Centaur-D,Retired,,,,,2,0,,,
222,7,Atlas-SLV3D Centaur-D1A,Retired,,,,,2,0,,,
222,8,Atlas-SLV3D Centaur-D1AR,Retired,,,,,2,0,,,
223,1,Rocket 3,Active,$2.5 million,133,204 kg,0 kg,2,0,11.60,,
224,1,Starship Prototype,Active,,6000,,,1,0,50.00,,
225,1,Ceres-1,Active,$4.9 million,588,350 kg,0 kg,4,0,19.00,1.28 m,2.6 m
225,2,Palas 1,Planned,,2746,"4,000 kg",0 kg,2,0,42.00,3.15 m,6.3 m
228,1,Atlas II,Retired,,2479,"6,580 kg","2,810 kg",2,0,47.50,,
228,2,Atlas IIA,Retired,,2479,"7,316 kg","3,180 kg",2,0,47.50,,
228,3,Atlas IIAS,Retired,,2957,"8,618 kg","3,933 kg",2,4,47.50,,
227,1,Zéphyr,Planned,,56,80 kg,,2,0,12.30,1.0 m,
229,1,Atlas I,Retired,,,,,2,0,43.90,,
230,1,Scout A,Retired,,,,,4,0,,,
230,2,Scout A1,Retired,,,122 kg,,4,0,,,
230,3,Scout B,Retired,,622,143 kg,0 kg,4,0,21.00,,
230,4,Scout B1,Retired,,622,129 kg,0 kg,4,0,21.00,,
230,5,Scout D1,Retired,,622,185 kg,0 kg,4,0,21.00,,
230,6,Scout E1,Retired,,,,,5,0,,,
230,7,Scout F1,Retired,,622,193 kg,0 kg,4,0,21.00,,
230,8,Scout G1,Retired,,622,210 kg,0 kg,4,0,21.00,,
230,9,Scout X-1,Retired,,,,,4,,25.00,,
230,10,Scout X-2,Retired,,440,76 kg,,4,,25.00,,
230,11,Scout X-2B,Retired,,,,,4,,22.00,,
